TIEMPO_BARRIDO;1;NUMERICO;1;100;0;SEG
TIEMPO_ENCENDIDO;2;NUMERICO;2;10;0;SEG
TIEMPO_PRE_ENCENDIDO;3;NUMERICO;0;5;0;SEG
TIEMPO_SQ3;5;NUMERICO;-1;180;0;SEG
TIEMPO_MAX;6;NUMERICO;60;2000;0;SEG
TIEMPO_POSTBARRIDO;7;NUMERICO;-1;10000;0;SEG
TIEMPO_PAB_INICIAL;67;NUMERICO;3;10;0;SEG
TIEMPO_VPS_INIT;69;NUMERICO;1;60;0;SEG
TIEMPO_VPS_ESTABLE;70;NUMERICO;10;180;0;SEG
TIEMPO_POS;71;NUMERICO;5;180;0;SEG
TIEMPO_AL_DET;74;NUMERICO;0;180;0;SEG
TIEMPO_AP_MOD;92;NUMERICO;0;600;0;SEG
TIEMPO_PIL_INT;93;NUMERICO;0;15;0;SEG
TIEMPO_CARRERA_ACT;94;NUMERICO;5;300;0;SEG
TIEMPO_ESTADO;96;INDICACION;0;SEG
TIEMPO_SINCRO;98;NUMERICO;1;60;0;SEG
POSICION_ARRANQUE;88;NUMERICO;0;100;2;%
POSICION_MINIMA;9;NUMERICO;0;100;2;%
POSICION_MAXIMA;10;NUMERICO;0;100;2;%
TOLERANCIA_POS;72;NUMERICO;0;100;2;%
MAX_TEMP_AMB;21;NUMERICO;30;75;1; C
NIVEL_DET;8;NUMERICO;0;100;2;%
PILOTO_SPI;4;TEXTO;NO;SI;INTERRUMPIDO
USO_MVC;11;TEXTO;NO;SI
USO_VPS;14;TEXTO;VPS_AL_INICIO;VPS_AL_FINAL;VPS_INICIO_FIN;SIN_VPS
CONTROL_POSICIONAMIENTO;15;TEXTO;SIN;POR_TIEMPO;FCC;FCA+FCC;REAL_POS_MIN;REAL_POS_AMBAS;REAL+FCA+FCC
ACCION_CORTE_LUZ;95;TEXTO;ESPERAR;REINICIAR
POTE_COM;100;NUMERICO;0;100;2;%
MODO_INICIO;13;TEXTO;INTERRUPTOR;PULSADOR_ARRANQUE_NORMAL;PULSADOR_ARRANQUE_FORZADO
MODO_PAB;16;TEXTO;DETIENE_MOTOR;NO_DETIENE_MOTOR;NO_ANTI_PUENTEO;SIN_PAB
MODO_PGB;17;TEXTO;CON_PGB;SIN_PGB
MODO_PGA;18;TEXTO;CON_PGA;SIN_PGA
MODO_POTE;19;TEXTO;SIN_POTE;CON_POTE;POR_COM
MODO_SAL1;20;TEXTO;SIN_MOD1;MOD1_MODULANTE
MODO_MOTOR;62;TEXTO;SIN_MOTOR;CON_MOTOR;CON_MOTOR_POST_PURGA
MODO_PID;89;TEXTO;SIN_PID_EXT;CON_PID_EXT
MODO_POS;90;TEXTO;NO_POSEE;REAL_MOD1;REAL_MOD2
MODO_SAL2;91;TEXTO;SIN_MOD2;MOD2_MODULANTE
CONTADOR_AL_CBT;22;NUMERICO;0;100000;0;VECES
CONTADOR_AL_FLL;23;NUMERICO;0;100000;0;VECES
CONTADOR_AL_MVC;24;NUMERICO;0;100000;0;VECES
CONTADOR_AL_VPS1;25;NUMERICO;0;100000;0;VECES
CONTADOR_AL_PAB;26;NUMERICO;0;100000;0;VECES
CONTADOR_AL_PGB;27;NUMERICO;0;100000;0;VECES
CONTADOR_AL_PGA;28;NUMERICO;0;100000;0;VECES
CONTADOR_AL_TIEMPO_MAX;29;NUMERICO;0;100000;0;VECES
CONTADOR_AL_TEMP;30;NUMERICO;0;100000;0;VECES
CONTADOR_AL_VPS2;68;NUMERICO;0;100000;0;VECES
CONTADOR_AL_POS;73;NUMERICO;0;100000;0;VECES
AJUSTE_TEMP_AMB;31;NUMERICO;-30;40;1; C
AJUSTE_MIN_POTE;32;NUMERICO;0;65535;0;c
AJUSTE_MIN_PID;33;NUMERICO;0;65535;0;c
AJUSTE_MIN_POS;34;NUMERICO;0;65535;0;c
AJUSTE_MIN_DET;35;NUMERICO;0;65535;0;c
AJUSTE_MAX_POTE;36;NUMERICO;0;65535;0;c
AJUSTE_MAX_PID;37;NUMERICO;0;65535;0;c
AJUSTE_MAX_POS;38;NUMERICO;0;65535;0;c
AJUSTE_MAX_DET;39;NUMERICO;0;65535;0;c
AJUSTE_MIN_SAL1;40;NUMERICO;0;100;2;%
