TIEMPO_BARRIDO,SI,SI,
TIEMPO_ENCENDIDO,SI,SI,
TIEMPO_PRE_ENCENDIDO,SI,NO,
TIEMPO_SQ3,SI,SI,
TIEMPO_MAX,SI,SI,
TIEMPO_POSTBARRIDO,SI,SI,
TIEMPO_PAB_INICIAL,SI,SI,
TIEMPO_VPS_INIT,SI,SI,
TIEMPO_VPS_ESTABLE,SI,SI,
TIEMPO_POS,SI,NO,
TIEMPO_AL_DET,SI,SI,
TIEMPO_AP_MOD,SI,NO,
TIEMPO_PIL_INT,SI,NO,
TIEMPO_CARRERA_ACT,SI,SI,
TIEMPO_ESTADO,SI,NO,
TIEMPO_SINCRO,NO,NO,
POSICION_ARRANQUE,SI,SI,
POSICION_MINIMA,SI,SI,
POSICION_MAXIMA,SI,SI,
TOLERANCIA_POS,SI,NO,
MAX_TEMP_AMB,SI,SI,
NIVEL_DET,SI,SI,
PILOTO_SPI,SI,SI,
USO_MVC,SI,SI,
USO_VPS,SI,SI,
CONTROL_POSICIONAMIENTO,SI,SI,
ACCION_CORTE_LUZ,SI,SI,
POTE_COM,SI,NO,
MODO_INICIO,SI,SI,
MODO_PAB,SI,NO,
MODO_PGB,SI,NO,
MODO_PGA,SI,NO,
MODO_POTE,SI,NO,
MODO_SAL1,SI,NO,
MODO_MOTOR,SI,NO,
MODO_PID,SI,NO,
MODO_POS,SI,NO,
MODO_SAL2,SI,SI,
CONTADOR_AL_CBT,SI,NO,
CONTADOR_AL_FLL,SI,NO,
CONTADOR_AL_MVC,SI,NO,
CONTADOR_AL_VPS1,SI,NO,
CONTADOR_AL_PAB,SI,NO,
CONTADOR_AL_PGB,SI,NO,
CONTADOR_AL_PGA;28,SI,NO,
CONTADOR_AL_TIEMPO_MAX,SI,NO,
CONTADOR_AL_TEMP,SI,NO,
CONTADOR_AL_VPS2,SI,NO,
CONTADOR_AL_POS,SI,NO,
AJUSTE_TEMP_AMB,SI,NO,
AJUSTE_MIN_POTE,SI,NO,
AJUSTE_MIN_PID,SI,NO,
AJUSTE_MIN_POS,SI,NO,
AJUSTE_MIN_DET,SI,NO,
AJUSTE_MAX_POTE,SI,NO,
AJUSTE_MAX_PID,SI,NO,
AJUSTE_MAX_POS,SI,NO,
AJUSTE_MAX_DET,SI,NO,
AJUSTE_MIN_SAL1,SI,NO,
AJUSTE_MIN_SAL2,SI,NO,
AJUSTE_MAX_SAL1,SI,NO,
AJUSTE_MAX_SAL2,SI,NO,
FILTRO_ADC_POTE,SI,NO,
FILTRO_ADC_PID,SI,NO,
FILTRO_ADC_POS,SI,NO,
FILTRO_ADC_DET,SI,NO,
FILTRO_SAL1,SI,NO,
FILTRO_SAL2,SI,NO,
TEMP_AMBIENTE,SI,NO,
VX_POTE,SI,NO,
VX_PID,SI,NO,
VX_POS,SI,NO,
VX_DET,SI,NO,
VX_SAL1,SI,NO,
VX_SAL2,SI,NO,
CUENTAS_VX_POTE,SI,NO,
CUENTAS_VX_PID,SI,NO,
CUENTAS_VX_POS,SI,NO,
CUENTAS_VX_DET,SI,NO,
ESTADO_ENT_SAL,NO,NO,
ULTIMO_ESTADO,SI,NO,
ESTADO_ACTUAL,NO,NO,
ESTADO_ABF,SI,NO,
RELACION_SAL1_SAL2_01,SI,NO,
RELACION_SAL1_SAL2_02,SI,NO,
RELACION_SAL1_SAL2_03,SI,NO,
RELACION_SAL1_SAL2_04,SI,NO,
RELACION_SAL1_SAL2_05,SI,NO,
RELACION_SAL1_SAL2_06,SI,NO,
RELACION_SAL1_SAL2_07,SI,NO,
RELACION_SAL1_SAL2_08,SI,NO,
RELACION_SAL1_SAL2_09,SI,NO,
RELACION_SAL1_SAL2_10,SI,NO,
RELACION_SAL1_SAL2_11,SI,NO,
RELACION_SAL1_SAL2_12,SI,NO,
RELACION_SAL1_SAL2_13,SI,NO,
RELACION_SAL1_SAL2_14,SI,NO,
RELACION_SAL1_SAL2_15,SI,NO,
RELACION_SAL1_SAL2_16,SI,NO,
RELACION_SAL1_SAL2_17,SI,NO,
VERSION_SOFT,SI,NO,
